2.766997449176169521e+00 3.006059008441898772e+00
2.088094777054783080e+00 2.903810986407362904e+00
2.822686541285641670e+00 3.149696392939078660e+00
2.960355618458414551e+00 1.927877097616605750e+00
2.659122371155123066e+00 3.006991014034997356e+00
2.032954596475295084e+00 3.081060886926234588e+00
2.854008323349864984e+00 1.999801525369903965e+00
1.859387078586314690e+00 2.932274234602143093e+00
2.979922522654017136e+00 1.866821022670417829e+00
2.995763163325959599e+00 1.985595460871006912e+00
2.010735721721112146e+00 2.908542147932652089e+00
2.843601373873463789e+00 1.955819928799183538e+00
3.014684940949362346e+00 2.071817254798781871e+00
2.955848758498268669e+00 2.002549532855308456e+00
2.953853347117966432e+00 2.014228889781465970e+00
2.723478874518370674e+00 2.909772625778544786e+00
1.822563743484528320e+00 2.925210296677877242e+00
2.914468938893320260e+00 3.054336780969086451e+00
2.746014094374167325e+00 3.104808300944346566e+00
1.898162333714168204e+00 2.857695041511004952e+00
2.706409191152936433e+00 2.957686421588001213e+00
2.858956467111453126e+00 3.033124170697728328e+00
2.939364448465704438e+00 1.980821208728706928e+00
2.717811191556968708e+00 3.082535431495139644e+00
2.919293342210746545e+00 3.080578453448903353e+00
1.981070710113886468e+00 3.050562435643691561e+00
2.891639482190973887e+00 2.023183666995666652e+00
1.929576687174035410e+00 2.985977074479872595e+00
2.140504867514827492e+00 2.921581307550503936e+00
1.975460027120392370e+00 3.035061741609020647e+00
